City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,kruisfontein,-34.0119558,24.7433295,13.88,90,4,1.91,ZA,1702247293
128,puerto san carlos,-12.6607539,-63.5500203,31.91,51,76,1.32,BR,1702247294
129,fortuna,40.597407,-124.156034,14.96,69,0,0.45,US,1702246631
130,hermanus,-34.4175,19.2361111,16.97,78,0,4.37,ZA,1702247296
131,wailua homesteads,22.0580742,-159.3691081,26.59,76,20,4.12,US,1702247299
132,iraucuba,-3.7466828,-39.7840904,27.29,59,69,3.38,BR,1702247300
133,hpa-an,16.8902634,97.6362745,23.01,94,3,0.64,MM,1702247302
134,cabo san lucas,22.8938884,-109.9200604,29.67,49,0,6.69,MX,1702247303
135,sitka,57.0524973,-135.337612,2.9,87,100,2.57,US,1702247304
136,muzayri',34.9880073,36.9886882,12.83,62,70,3.74,SY,1702247305
137,sirjan,29.4458687,55.6704717,8.74,27,15,1.63,IR,1702247307
138,illizi,26.504191,8.479926,11.82,66,29,2.87,DZ,1702247307
139,georgetown,6.8137426,-58.1624465,28.16,78,20,3.09,GY,1702247309
140,dalby,-27.1822593,151.2634168,24.38,49,9,8.7,AU,1702247310
141,kapuskasing,49.416667,-82.433333,-5.95,86,100,3.09,CA,1702247311
142,ganjam,19.3886023,85.049464,20.85,70,0,1.76,IN,1702247312
143,iqaluit,63.74944,-68.521857,-5.03,79,100,5.66,CA,1702247314
144,jaslo,49.746962749999994,21.493576018400987,2.19,96,100,4.65,PL,1702247315
145,islampur,26.2563651,88.1860517,16.04,48,0,0.21,IN,1702247316
146,afaahiti,-17.7390418,-149.28997267755395,30.51,83,89,11.11,PF,1702247317
147,bamboo flat,11.7126318,92.7163855,25.81,94,20,1.03,IN,1702247318
148,port sudan,19.619217,37.211709,27.05,72,72,1.84,SD,1702247319
149,mariental,52.2777312,10.9865227,7.52,94,100,4.28,DE,1702247321
150,duong dong,21.8708515,112.0013447,22.78,88,100,2.56,CN,1702247322
151,saldanha,-32.9977778,17.9455556,16.15,87,0,7.58,ZA,1702247324
152,port alfred,-33.5981844,26.8914772,16.7,93,23,1.61,ZA,1702247325
153,baharly,38.4259972,57.429268303456624,11.98,45,59,1.72,TM,1702247326
154,mareeba,-17.129513000000003,143.92421903082817,27.84,57,3,1.65,AU,1702247327
155,antsiranana,-12.2779134,49.2913394,25.6,83,84,5.22,MG,1702247328
156,el calafate,-50.3388712,-72.2720843,11.38,69,100,4.17,AR,1702247329
157,constantia,44.1767161,28.6507598,0.48,85,55,4.3,RO,1702247330
158,vadso,70.22671985,29.78277929931153,-13.01,85,75,11.32,NO,1702247331
159,waingapu,-9.652179,120.2636908,26.72,84,82,2.43,ID,1702247332
160,hobyo,5.349526,48.526366,26.79,80,40,8.01,SO,1702247333
161,klyuchi,56.318218,160.842178,-4.15,89,100,2.98,RU,1702247334
162,el achir,36.0632388,4.6294961,9.89,74,8,1.65,DZ,1702247335
163,sainyabuli,19.2653107,101.7059229,20.75,97,6,0.54,LA,1702247337
164,qaqortoq,60.718202,-46.0385214,-9.15,75,94,1.79,GL,1702247337
165,badger,42.614418,-94.1461643,1.94,55,0,0.0,US,1702247338
166,myawadi,16.6871674,98.507114,25.29,100,20,1.03,TH,1702247339
167,okahandja,-21.979231,16.9128172,20.71,33,0,3.84,NA,1702247340
168,slave lake,55.2810741,-114.7717876,0.0,74,40,6.17,CA,1702247341
169,vilyuysk,63.754082,121.626549,-29.27,97,100,3.36,RU,1702247343
170,nema,16.6173344,-7.2663798,23.1,17,17,6.81,MR,1702247344
171,pea ridge,36.4515042,-94.1162147,7.09,39,0,3.09,US,1702247347
172,menongue,-14.6610713,17.6820336,19.64,82,100,1.89,AO,1702247348
173,uturoa,-16.74372575,-151.45941213237853,24.9,80,43,10.17,PF,1702247349
174,howrah,22.5736296,88.3251045,15.97,88,0,0.0,IN,1702247351
175,port mathurin,-19.6808372,63.422113,26.24,78,52,3.75,MU,1702247351
176,nchelenge,-9.3476333,28.7352607,22.78,84,100,2.55,ZM,1702247352
177,pathein,16.783333,94.733333,23.31,80,17,2.81,MM,1702247353
178,kodinsk,58.596329,99.182915,-33.58,100,30,0.19,RU,1702247354
179,nalerigu,10.525509,-0.370179,26.27,10,88,1.92,GH,1702247355
180,maracaibo,10.6498095,-71.6443596,28.57,71,23,5.49,VE,1702247356
181,howard springs,-12.4969791,131.0470011,31.04,92,77,0.32,AU,1702247358
182,asau,46.4388969,26.4008405,-2.51,90,74,1.78,RO,1702247359
183,xiaoweizhai,26.2292619,107.512855,18.34,93,100,1.31,CN,1702247360
184,punta arenas,-53.1625688,-70.907822,9.16,57,20,5.14,CL,1702247360
185,ponta delgada,37.7394344,-25.6683618,18.44,88,40,5.66,PT,1702247361
186,al aaroui,35.010185,-3.012265,13.12,87,0,1.03,MA,1702247362
187,mejit,10.28434145,170.8698842802093,27.64,74,100,8.91,MH,1702247363
188,thompson,55.743347,-97.863464,-15.9,92,100,1.03,CA,1702247364
189,tofol,5.326022,163.0087193,28.88,79,75,3.09,FM,1702247365
190,la sarre,48.8000956,-79.2010223,-4.17,88,97,3.54,CA,1702247366
191,pionerskiy,61.1987694,62.8577766,-34.49,100,13,0.52,RU,1702247368
192,parabel',58.7139667,81.5018413,-33.95,100,12,1.79,RU,1702247369
193,chapada dos guimaraes,-15.464343,-55.749857,26.81,75,99,2.55,BR,1702247370
194,port glaud,-4.66406,55.4177606,27.87,83,40,1.54,SC,1702247371
195,colonia,50.938361,6.959974,12.16,80,100,3.6,DE,1702247372
196,geraldton,-28.77035,114.6147159,22.09,20,0,7.2,AU,1702247373
197,arraial do cabo,-22.9662839,-42.024427,23.3,76,100,4.83,BR,1702247374
198,alofi,-19.0534159,-169.919199,25.28,94,100,6.17,NU,1702247375
199,coffeyville,37.0372999,-95.6163634,9.45,34,0,2.06,US,1702247376
200,sisimiut,66.9371906,-53.6664816,-3.83,93,100,5.89,GL,1702247377
201,chonchi,-42.6239756,-73.7724416,18.79,64,100,1.49,CL,1702247379
202,east london,-33.0191604,27.8998573,17.04,78,88,2.64,ZA,1702247380
203,mugia,43.1071193,-9.2181926,18.23,85,100,11.28,ES,1702247381
204,ahau,-12.5010421,177.0478913,27.8,74,86,5.04,FJ,1702247382
205,cockburn town,21.4607723,-71.1399956,25.98,69,40,7.72,TC,1702247384
206,poddebice,51.8931973,18.9517348,3.56,99,100,6.27,PL,1702247385
207,udachny,66.411768,112.2517294,-29.56,82,100,3.13,RU,1702247386
208,pitoa,9.3861256,13.5011153,25.82,21,0,1.27,CM,1702247387
209,saint-pierre,48.3832725,7.4718731,11.51,80,100,5.59,FR,1702247388
210,saynshand,44.8883913,110.1431263,-15.43,86,100,3.17,MN,1702247389
211,cannonvale,-20.2821885,148.689479,24.9,86,100,12.45,AU,1702247392
212,ouadda,8.0715808,22.3962224,22.81,42,97,0.93,CF,1702247393
213,arfoud,31.4324061,-4.2342572,15.84,43,19,1.19,MA,1702247394
214,palmer,61.5995703,-149.11109,-2.53,64,100,6.71,US,1702247395
215,banjar,-3.3187496,114.5925828,25.09,98,98,1.0,ID,1702247396
216,buala,-8.145546,159.5930366,28.26,74,73,0.89,SB,1702247396
217,juneau,58.3019496,-134.419734,2.0,92,100,2.57,US,1702247398
218,fort st. john,56.2524039,-120.846943,-1.06,69,40,5.14,CA,1702247399
219,zeya,53.7403584,127.2716246,-25.77,76,4,2.45,RU,1702247400
220,vernon,49.0917814,1.4886571,12.0,81,100,7.48,FR,1702247414
221,kingston,17.9712148,-76.7928128,29.9,68,20,9.26,JM,1702247415
222,miri,4.392739,113.9880255,25.06,94,40,0.0,MY,1702247416
223,urangan,-25.287208999999997,152.89810582932353,24.93,67,76,8.71,AU,1702247417
224,balykchy,37.699016,59.109028,11.7,41,63,1.62,TM,1702247419
225,tanki leendert,12.53896375,-70.02134233846445,27.64,85,20,9.77,AW,1702247420
226,hastings,50.8553888,0.5824703,12.23,81,5,14.54,GB,1702247421
227,sogne,58.0953248,7.7893494,1.45,90,100,8.14,NO,1702247423
228,ust-nera,64.566376,143.237839,-19.62,99,100,3.98,RU,1702247424
229,mossel bay,-34.1832022,22.1536248,15.56,89,19,1.26,ZA,1702247425
230,kerikeri,-35.2272607,173.9491061,20.93,80,81,1.21,NZ,1702247289
231,murovani kurylivtsi,48.7130055,27.5355762,-0.26,90,100,3.71,UA,1702247427
232,el alto,-16.5048228,-68.1624337,13.18,54,75,4.63,BO,1702247429
233,petawawa,45.8984286,-77.2826645,3.33,81,97,0.45,CA,1702247432
234,alice springs,-23.6983884,133.8812885,13.75,67,75,7.2,AU,1702247433
235,praia da vitoria,38.739237599999996,-27.156264396780458,15.9,77,0,4.1,PT,1702247435
236,zbarazh,49.6607393,25.7768485,-3.74,96,100,3.23,UA,1702247436
237,bartolome maso,20.1676753,-76.9449426,25.02,78,74,0.68,CU,1702247437
238,tangalle,6.0219509,80.7959935,24.3,92,100,1.76,LK,1702247438
239,sambava,-14.254956,50.1556533,23.16,97,92,0.63,MG,1702247440
240,timbuktu,16.7719091,-3.0087272,19.81,20,2,5.18,ML,1702247441
241,morondava,-20.2951102,44.2786121,27.66,73,72,2.19,MG,1702247442
242,nuuk,64.175029,-51.7355386,-2.6,74,20,2.57,GL,1702247443
243,enriquillo,17.8988867,-71.2338426,24.16,93,7,3.58,DO,1702247445
244,odienne,9.504431,-7.561942,23.36,22,97,0.85,CI,1702247446
245,el tigre,8.8856183,-64.2486608,27.53,62,79,3.27,VE,1702247446
246,chegdomyn,51.134487,133.035553,-30.73,97,79,0.98,RU,1702247449
247,san matias,15.0083551,120.7113103,25.65,78,97,1.13,PH,1702247450
248,hayma',15.4662,44.22663,11.2,34,6,0.94,YE,1702247452
249,seeb,23.6821956,58.1843842,19.06,68,0,2.06,OM,1702247434
250,awjilah,29.140278,21.2975,13.86,64,15,3.33,LY,1702247454
251,nizhnesortymskiy,62.444141,71.772011,-39.3,100,33,1.63,RU,1702247454
252,algona,43.0699663,-94.233019,1.74,86,0,2.57,US,1702247455
253,lata,18.3983393,76.562087,17.84,64,11,2.64,IN,1702247456
254,gangneung,37.7525313,128.8759523,9.04,87,100,8.36,KR,1702247457
255,mandalgovi,45.7630435,106.2704145,-16.3,94,100,2.32,MN,1702247458
256,kirakira,-10.4568963,161.9201736,27.34,77,79,1.78,SB,1702247459
257,jiexiu,37.031378,112.001713,-8.43,97,97,0.61,CN,1702247460
258,port blair,11.6645348,92.7390448,25.68,94,20,1.03,IN,1702247461
259,luanda,-8.8272699,13.2439512,27.02,82,75,3.09,AO,1702247462
260,gisborne,-38.661326,178.0206487,15.98,69,96,2.66,NZ,1702247464
261,ciudad valles,21.9916551,-99.0102967,18.43,45,99,1.66,MX,1702247465
262,nabire,-3.360285,135.5023653,27.35,73,100,0.69,ID,1702247466
263,dunedin,-45.8740984,170.5035755,15.29,60,10,2.46,NZ,1702247467
264,flying fish cove,-10.4213344,105.674413,25.24,83,75,3.09,CX,1702247468
265,severnoye,45.4621205,33.5722387,5.81,92,100,1.12,UA,1702247469
266,enguera,38.9804366,-0.6894299,15.99,73,33,4.14,ES,1702247470
267,alpena,45.0616794,-83.4327528,1.18,71,100,3.09,US,1702247471
268,crane,31.39572,-102.3521214,11.84,20,2,4.05,US,1702247472
269,kargasok,59.0598053,80.8708719,-32.25,100,7,2.68,RU,1702247473
270,vanimo,-2.6847646,141.3009131,27.71,79,96,1.41,PG,1702247474
271,kavieng,-2.573474,150.795224,28.35,76,94,3.33,PG,1702247475
272,toliara,-23.354173,43.66966,25.19,75,4,2.53,MG,1702247478
273,seme,10.1580743,-6.945423,23.85,20,94,1.05,CI,1702247479
274,forecariah,9.4300088,-13.0833859,24.79,67,100,0.76,GN,1702247481
275,tiquipaya,-17.3381676,-66.2188861,24.4,33,75,1.54,BO,1702247483
276,tarawa,36.4768086,44.4777668,8.17,79,50,1.35,IQ,1702247484
277,sedrata,36.1356466,7.53412,9.66,73,8,2.74,DZ,1702247486
278,la'ie,21.6438449,-157.924442,29.98,72,22,1.79,US,1702247487
279,newman,37.3139487,-121.0204222,16.27,53,100,1.34,US,1702247489
280,markovo,42.3473399,25.2238201,1.74,90,74,1.14,BG,1702247491
281,letterkenny,54.9517933,-7.7354381,7.94,94,98,1.5,IE,1702247492
282,mananjary,-21.2385393,48.3463035,25.05,90,31,2.42,MG,1702247495
283,tidjikja,18.5545158,-11.4325834,20.93,22,49,5.43,MR,1702247497
284,langepas,61.247257,75.189278,-32.73,98,8,1.84,RU,1702247501
285,aykhal,65.9516363,111.4917562,-28.99,99,100,2.14,RU,1702247502
286,carlinville,39.2797699,-89.8817662,4.84,53,2,2.98,US,1702247503
287,brisas de zicatela,15.8367317,-97.042937,28.57,70,57,1.18,MX,1702247504
288,kourou,5.1581197,-52.64263,28.01,87,21,2.84,GF,1702247505
289,'ohonua,-21.3413217,-174.956145,27.04,66,8,6.79,TO,1702247506
290,tejen,37.38463,60.5027245,9.85,47,43,1.13,TM,1702247507
291,margate,51.3878174,1.3819699,11.67,81,1,6.26,GB,1702247508
292,garissa,-0.4567099,39.6404713,26.83,75,80,3.44,KE,1702247509
293,charters towers,-20.0714089,146.2709824,27.28,51,25,6.95,AU,1702247510
294,lyubim,58.35762,40.691818,-13.24,92,100,4.59,RU,1702247511
295,kzyltu,42.5619789,69.99174,-1.95,82,100,1.02,KZ,1702247512
296,lycksele,64.6,18.166667,-10.92,92,100,1.94,SE,1702247357
297,acapulco de juarez,16.8680495,-99.8940182,29.71,74,75,3.09,MX,1702247514
298,kailua-kona,19.641941,-155.996933,28.32,74,20,4.63,US,1702247239
299,hasaki,35.7529706,140.8201321,11.27,69,99,1.9,JP,1702247516
300,shanklin,50.6288132,-1.1779031,12.47,85,1,2.68,GB,1702247518
301,mirnyy,62.541077,113.978584,-29.55,96,100,3.11,RU,1702247518
302,orchard homes,46.8632567,-114.048444,2.0,92,100,0.45,US,1702247519
